timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
2014-10-25,1063378.2967741936,35985640265.076,8994.713636774195,72515,0,191710,266702,3985.5728,155,347.2709960938,15585700.0,4809419914.0,358.6109924316
2014-10-26,1332920.096,35985640265.076,8806.7604944,70762,0,198620,246746,3938.7834,125,354.7040100098,18127500.0,4662139220.32,347.4869995117
2014-10-27,1261066.1635220123,35985640265.076,8843.991660377358,83977,0,245616,264506,4768.689199999999,159,352.9890136719,11272500.0,4763036252.8,354.7770080566
2014-10-28,1415219.1014492754,35985640265.076004,8916.670063043479,87980,0,240737,250316,4749.9425,138,357.6180114746,13033000.0,4741410021.07,353.2149963379
2014-10-29,1278389.470967742,35985640265.076,8961.641742580645,93667,0,242747,257006,5098.2402,155,335.591003418,7845880.0,4804812400.8,357.0889892578
2014-10-30,1194771.1764705882,35985640265.076,8730.883555882352,92622,0,249463,261533,4825.1777,170,345.3049926758,18192700.0,4510175244.5,335.7090148926
2014-10-31,1016883.4680851063,35985640265.076,8510.76199893617,85703,0,237241,239679,4373.255999999999,188,338.3210144043,30177900.0,4642194093.75,345.0090026855
2014-11-01,970943.496855346,35985640265.076,8586.583164779873,69591,0,189456,204095,4306.1989,159,325.7489929199,12545400.0,4549893052.45,338.6499938965
2014-11-02,1262771.9483870969,35985640265.076,8293.979549677419,77170,0,222176,349958,4181.8565,155,325.891998291,16677200.0,4382113991.33,326.075012207
2014-11-03,1215033.420118343,35985640265.076,8176.4721224852065,90351,0,254762,250569,5403.2928,169,327.5539855957,8603620.0,4385292372.3,325.5690002441
2014-11-04,1215835.3333333333,35985640265.076,8262.243277777778,87617,0,244203,246801,4453.8569,162,330.4920043945,12948500.0,4409040617.0,327.1610107422
2014-11-05,1401873.971014493,38974444341.57591,8245.146289130435,89460,0,239234,245579,4401.6953,138,339.4859924316,15655500.0,4449934320.9,330.683013916
2014-11-06,1399327.298701299,39603666252.41799,8484.659597402595,94296,0,269872,262777,4875.593199999999,154,349.2900085449,19817200.0,4572205935.15,339.4580078125
2014-11-07,1354472.933333333,39603666252.41799,8612.208486666666,83957,0,259332,235833,4606.233999999999,150,342.4150085449,18797000.0,4705591218.75,349.8179931641
2014-11-08,1062328.549019608,39603666252.41799,8672.88454117647,72717,0,203138,200454,3730.8196,153,345.4880065918,16834200.0,4614264694.75,342.1539916992
2014-11-09,1264228.8533333333,39603666252.41799,8648.058866666668,72212,0,215878,334111,5183.8012,150,363.2640075684,8535470.0,4656988221.6,345.3760070801
2014-11-10,1386586.448979592,39603666252.41799,8815.332355782313,88994,0,252463,256459,4716.159600000001,147,366.9240112305,24205600.0,4897961164.8,362.2650146484
2014-11-11,1543265.2403100776,39603666252.418,9176.899575193798,85618,0,249057,243906,4889.058000000001,129,367.6950073242,30450100.0,4948658122.5,365.8569946289
2014-11-12,1486288.2993197278,39603666252.41799,9233.839953741495,95579,0,270840,274259,5562.4853,147,423.5610046387,15838900.0,4960242319.5,367.9849853516
2014-11-13,1524489.9586206896,39603666252.418,9910.689262068963,92958,0,277185,264872,5682.5002,145,420.7349853516,45783200.0,5715426243.75,427.2730102539
2014-11-14,1297948.8831168832,39603666252.41799,10815.81834025974,86307,0,243030,275084,5670.0093,154,397.8179931641,58945000.0,5678828589.0,418.4169921875
2014-11-15,1152227.3142857142,39603666252.418,9963.034358571427,73242,0,198740,210563,4449.809200000001,140,376.1329956055,29589200.0,5371040272.5,399.6499938965
2014-11-16,1266211.4933333334,39603666252.41799,9712.489714,76009,0,216985,330823,4498.4944000000005,150,387.8819885254,15727500.0,5079582131.75,374.7300109863
2014-11-17,1470860.4722222222,39603666252.418,9641.522876388888,88354,0,266500,250180,5799.3344,144,387.407989502,11905600.0,5239694299.95,388.3489990234
2014-11-18,1296941.1948051949,39671493922.106926,9953.417453896103,87524,0,245814,255765,5184.7523,154,375.1979980469,41518800.0,5234695636.8,387.7850036621
2014-11-19,1354439.4893617022,40300030327.891,9585.905717021276,85271,0,234709,247920,5027.4251,141,380.5549926758,32222500.0,5071157408.1,373.8959960938
2014-11-20,1442817.4782608696,40300030327.891,9537.817275362318,89388,0,246358,251022,5046.3225,138,357.8399963379,18931800.0,5144903808.62,380.3070068359
2014-11-21,1469332.8818897638,40300030327.890976,9206.022214960629,82179,0,230452,237094,4670.105600000002,127,350.8479919434,25233200.0,4839043482.0,357.8789978027
2014-11-22,1062541.012987013,40300030327.891,8834.932821428572,74725,0,199391,220847,3878.0989,154,352.9200134277,29850100.0,4745605132.8,351.6040039063
2014-11-23,1334656.5352112676,40300030327.89101,8967.24256197183,77283,0,213260,339006,4258.9818,142,367.5729980469,15273000.0,4774989954.0,353.174987793
2014-11-24,1387441.8231292516,40300030327.891,9023.007853741494,85807,0,253791,252224,4705.1031,147,376.9010009766,15151600.0,4974540006.18,366.9479980469
2014-11-25,1514294.9696969695,40300030327.891,9422.668725,86134,0,250694,241189,4576.3115,132,375.3479919434,30930100.0,5102174794.68,376.8859863281
2014-11-26,1368338.8905109488,40300030327.891,9625.3019270073,85111,0,231499,238579,4665.1278,137,368.3699951172,25442200.0,5082390210.3,376.0190124512
2014-11-27,1384904.5106382978,40300030327.891,9358.480312056738,84682,0,241549,254892,4473.9514,141,369.6700134277,18601700.0,4989166443.0,370.5020141602
2014-11-28,1312197.0810810812,40300030327.891,9347.403839864864,85912,0,239928,247014,4351.7683,148,376.4469909668,8748030.0,5008058116.25,369.3739929199
2014-11-29,1094633.4012738853,40300030327.891,9289.407498089173,79098,0,212537,219953,4106.7292,157,375.4909973145,22946500.0,5101280352.88,376.1520080566
2014-11-30,1445730.075,40300030327.891,9507.31057,85013,0,272302,377530,4849.7402,160,378.0469970703,15375600.0,5089799279.55,375.5100097656
2014-12-01,1661490.276923077,40300030327.891,9513.049906153848,97623,0,265467,271022,5271.5077,130,379.2449951172,9194440.0,5125958175.35,378.2489929199
2014-12-02,1565475.04,40294179126.7586,9562.313723333333,99419,0,292550,293681,5409.6055,150,381.3150024414,11763000.0,5143434463.5,379.25
2014-12-03,1896115.8620689656,40007470271.27102,9606.54344913793,99348,0,272073,279434,5225.062800000001,116,375.0100097656,12364100.0,5172928822.88,381.7219848633
2014-12-04,1514759.8904109588,40007470271.271,9539.07875890411,98348,0,275426,275535,5632.5452000000005,146,369.6040039063,13340100.0,5088491939.5,375.7179870605
2014-12-05,1296097.1538461538,40007470271.271,9417.304930128204,90900,0,242734,291700,4649.5714,156,376.8540039063,14529600.0,5016487250.4,369.441986084
2014-12-06,1306728.6715328468,40007470271.271,9383.049908029196,81230,0,219760,229172,4185.3156,137,374.7850036621,15181800.0,5116358331.0,376.7569885254
2014-12-07,1403326.2857142857,40007470271.27103,9436.320195238097,74792,0,198628,323643,4103.8682,126,375.0950012207,7009320.0,5089542821.5,374.8359985352
2014-12-08,1408660.6871165645,40007470271.271,9473.298524539878,90746,0,288533,277669,5957.3973,163,361.908996582,6491650.0,5094943517.12,374.9649963379
2014-12-09,1436134.5633802817,40007470271.271,9299.870548591549,90220,0,253464,252887,4667.6476,142,352.2189941406,18898700.0,4917302821.62,361.8949890137
2014-12-10,1393281.7622377623,40007470271.271,8887.22445804196,88798,0,246746,254563,4429.347600000001,143,346.3649902344,32915500.0,4786893957.82,352.2049865723
2014-12-11,1309402.1081081082,40007470271.271,8805.634883783785,84005,0,239557,248232,4200.9676,148,350.5060119629,16427700.0,4708572401.25,344.3399963379
2014-12-12,1332869.4184397163,40007470271.271,8851.448878014184,81297,0,228396,258639,4081.812100000001,141,352.5419921875,32431300.0,4766084198.85,350.8330078125
2014-12-13,1137468.2191780822,40007470271.271,8827.263934246574,76207,0,205894,210487,3652.0511,146,347.3760070801,16989800.0,4795055945.25,352.3810119629
2014-12-14,1470838.5531914893,40007470271.271,8767.933578723405,79703,0,237642,355530,4220.673,141,351.6319885254,11675900.0,4726102586.4,346.7269897461
2014-12-15,1642712.709219858,40007470271.271,8797.676025531915,94459,0,289102,291277,4959.8168000000005,141,345.3450012207,12415200.0,4785245607.6,351.3609924316
2014-12-16,1735594.4335664336,40007470271.271,8771.190762237762,101064,0,308424,311562,5246.7624,143,327.0620117188,17264200.0,4700905209.0,345.6730041504
2014-12-17,1847268.1875,39560758612.91375,8469.24687734375,98444,0,295597,291990,5119.5561,128,319.7760009766,30864900.0,4453202603.05,326.8550109863
2014-12-18,1707830.3875968992,39457671307.13901,8136.507922480621,95207,0,272369,288238,4451.563,129,311.3959960938,37567900.0,4355021349.6,319.7850036621
2014-12-19,1594009.781021898,39457671307.139,7875.269821897812,95405,0,269295,288706,4660.736800000001,137,317.8429870605,39173000.0,4241890806.3,311.1789855957
2014-12-20,1536574.0298507465,39457671307.13901,7877.69056641791,86901,0,246263,307640,3811.0301,134,329.9559936523,23823100.0,4330801580.8,317.6189880371
